# t (s)	mx ()	my ()	mz ()	E_total (J)	E_demag (J)	E_exch (J)	B_effx (T)	B_effy (T)	B_effz (T)	B_demagx (T)	B_demagy (T)	B_demagz (T)	B_exchx (T)	B_exchy (T)	B_exchz (T)
0	7.243096e-08	1.7541874e-08	0	-7.5588566e-20	8.5361045e-20	-1.609496e-19	2.755769e-09	5.0567905e-10	7.166818e-10	-7.153176e-10	-8.0035534e-11	8.3309715e-10	3.4924597e-09	4.9112714e-10	-4.656613e-10
1.0013866108135089e-11	-2.0522106e-07	-1.8673607e-08	-2.4143654e-08	-7.5588546e-20	8.536152e-20	-1.6095006e-19	-5.450147e-09	3.5652192e-10	6.9849193e-10	1.924036e-09	2.401066e-10	6.4028427e-10	-7.450581e-09	9.094947e-11	0
2.0016428768552353e-11	-2.8972383e-07	-1.2977213e-07	3.621548e-08	-7.558853e-20	8.536152e-20	-1.6095008e-19	-7.540166e-09	-3.587047e-09	1.2805685e-09	2.3276243e-09	1.0877557e-09	2.910383e-10	-9.429641e-09	-4.5256456e-09	0
3.001253178953531e-11	1.7021276e-06	-1.9993964e-08	0	-7.558855e-20	8.536151e-20	-1.6095006e-19	4.4295575e-08	-3.0559022e-10	5.966285e-10	-1.4630132e-08	1.4551915e-11	1.2951205e-09	5.8906153e-08	-4.3291948e-10	4.656613e-10
4.0001203084737455e-11	4.828731e-07	8.1711175e-07	4.828731e-08	-7.558853e-20	8.536152e-20	-1.6095005e-19	1.4624675e-08	2.2413587e-08	6.91216e-11	-2.2798758e-09	-6.9230737e-09	4.1836756e-10	1.7113052e-08	2.9256626e-08	0
5.0005185254529875e-11	-1.0128263e-05	-5.2663347e-07	0	-7.558856e-20	8.536152e-20	-1.6095006e-19	-2.708921e-07	-1.4249963e-08	1.7462298e-10	8.61894e-08	5.4533302e-09	1.2878445e-09	-3.570458e-07	-1.9594154e-08	4.656613e-10
6.000399127274324e-11	4.744228e-06	-4.4716685e-06	-1.2071827e-08	-7.5588585e-20	8.536152e-20	-1.6095008e-19	1.2034388e-07	-1.1983138e-07	6.475602e-10	-5.1942834e-08	3.7212885e-08	1.382432e-09	1.7276034e-07	-1.5699698e-07	0
7.000020491095969e-11	5.4866454e-05	6.2990416e-06	0	-7.558856e-20	8.5361504e-20	-1.6095008e-19	1.474129e-06	1.6521153e-07	6.87578e-10	-4.5808383e-07	-5.8364094e-08	1.3278623e-09	1.9324943e-06	2.2360109e-07	4.656613e-10
8.000754180253738e-11	-6.972687e-05	2.0745623e-05	-1.2071827e-08	-7.558856e-20	8.536151e-20	-1.6095008e-19	-1.8280862e-06	5.607908e-07	8.8402885e-10	6.5223844e-07	-1.6796912e-07	1.9317667e-09	-2.4802284e-06	7.2864714e-07	4.656613e-10
9.000271197350062e-11	-0.00026409535	-5.2664287e-05	3.621548e-08	-7.5588566e-20	8.536151e-20	-1.6095008e-19	-7.1274167e-06	-1.395565e-06	3.5652192e-10	2.1503224e-06	4.6879723e-07	2.401066e-10	-9.277719e-06	-1.8643514e-06	-9.313226e-10
