# t (s)	mx ()	my ()	mz ()	E_total (J)	E_demag (J)	E_exch (J)	B_effx (T)	B_effy (T)	B_effz (T)	B_demagx (T)	B_demagy (T)	B_demagz (T)	B_exchx (T)	B_exchy (T)	B_exchz (T)
0	-0.64659196	0.7627852	-1.3260371e-05	2.6070901e-20	2.6005339e-20	6.556297e-23	0.005592721	-0.0066008484	2.841989e-07	0.0055927206	-0.0066008484	2.8420072e-07	-1.8189894e-12	9.094947e-13	-2.910383e-11
2.5002001248646092e-12	-0.64669114	0.7627011	-7.9734236e-05	2.60709e-20	2.6005332e-20	6.556681e-23	0.0055935816	-0.0066001182	1.7088023e-06	0.0055935816	-0.006600118	1.7088096e-06	2.2737368e-12	-2.2737368e-12	-1.4551915e-11
5.001380150426981e-12	-0.6468444	0.76257116	-0.000110564506	2.6070904e-20	2.6005327e-20	6.5575476e-23	0.0055949097	-0.006598989	2.3694593e-06	0.0055949097	-0.0065989895	2.3694483e-06	-2.2737368e-12	-4.5474735e-13	2.910383e-11
7.508419962075448e-12	-0.6470229	0.7624197	-0.00012475431	2.6070893e-20	2.6005316e-20	6.5576846e-23	0.005596458	-0.0065976745	2.673638e-06	0.005596458	-0.006597675	2.673658e-06	1.364242e-12	1.8189894e-12	1.4551915e-11
1.0004522812743848e-11	-0.6472119	0.7622593	-0.00013112239	2.6070886e-20	2.6005302e-20	6.5582936e-23	0.005598097	-0.0065962817	2.8098439e-06	0.0055980966	-0.0065962807	2.8098402e-06	-1.8189894e-12	-9.094947e-13	1.4551915e-11
1.2503256425943007e-11	-0.64740604	0.76209444	-0.00013387768	2.6070878e-20	2.6005292e-20	6.558841e-23	0.0055997795	-0.0065948498	2.8692302e-06	0.00559978	-0.00659485	2.8692175e-06	-9.094947e-13	4.5474735e-12	1.4551915e-11
1.5008392621336417e-11	-0.64760256	0.7619274	-0.00013494212	2.6070877e-20	2.6005282e-20	6.5594346e-23	0.005601483	-0.0065934006	2.8919749e-06	0.005601483	-0.0065934	2.8919658e-06	-4.092726e-12	9.094947e-13	0
1.750129665962738e-11	-0.64779866	0.76176065	-0.0001352134	2.6070872e-20	2.6005272e-20	6.56002e-23	0.0056031835	-0.0065919533	2.8977374e-06	0.005603184	-0.0065919524	2.8977556e-06	1.364242e-12	-9.094947e-13	-1.4551915e-11
2.000329020832792e-11	-0.64799535	0.7615933	-0.0001351173	2.6070867e-20	2.600526e-20	6.560612e-23	0.0056048892	-0.0065904986	2.8955692e-06	0.0056048892	-0.0065904986	2.8955728e-06	-3.637979e-12	-3.637979e-12	0
2.2507580471705745e-11	-0.6481919	0.76142603	-0.00013484927	2.6070857e-20	2.6005247e-20	6.561192e-23	0.0056065936	-0.0065890467	2.8898212e-06	0.0056065936	-0.0065890467	2.8898394e-06	-2.728484e-12	4.092726e-12	-1.4551915e-11
2.500881791908306e-11	-0.6483878	0.76125926	-0.00013450083	2.6070852e-20	2.6005234e-20	6.562015e-23	0.0056082923	-0.0065875985	2.8823706e-06	0.0056082923	-0.006587599	2.882367e-06	-3.1832315e-12	0	-1.4551915e-11
2.750065604495362e-11	-0.6485823	0.7610935	-0.00013411835	2.6070846e-20	2.600522e-20	6.562633e-23	0.0056099785	-0.00658616	2.874076e-06	0.0056099785	-0.00658616	2.8740778e-06	-2.2737368e-12	9.094947e-13	1.4551915e-11
3.00092924243571e-11	-0.6487775	0.76092714	-0.00013371627	2.6070843e-20	2.6005213e-20	6.5629914e-23	0.00561167	-0.006584716	2.8656214e-06	0.00561167	-0.006584716	2.8656286e-06	-1.8189894e-12	4.5474735e-13	-1.4551915e-11
3.2501983272598106e-11	-0.6489708	0.7607623	-0.00013331008	2.6070831e-20	2.6005197e-20	6.563593e-23	0.0056133466	-0.0065832846	2.8566865e-06	0.0056133466	-0.006583284	2.856701e-06	-6.366463e-12	-1.364242e-12	0
3.500164784405301e-11	-0.64916396	0.7605974	-0.00013290007	2.6070825e-20	2.6005182e-20	6.5641185e-23	0.005615021	-0.006581853	2.8481882e-06	0.0056150206	-0.006581853	2.8481809e-06	-2.2737368e-12	-3.637979e-12	0
3.750746516038851e-11	-0.64935696	0.7604328	-0.00013248855	2.6070818e-20	2.6005172e-20	6.564673e-23	0.0056166956	-0.006580422	2.8392824e-06	0.0056166956	-0.0065804226	2.839257e-06	1.364242e-12	-1.8189894e-12	1.4551915e-11
4.000357638494227e-11	-0.6495485	0.76026905	-0.00013207881	2.607082e-20	2.6005164e-20	6.565571e-23	0.0056183557	-0.006579001	2.8305221e-06	0.005618356	-0.0065790014	2.8305185e-06	1.8189894e-12	-2.2737368e-12	0
4.250624740520899e-11	-0.64974	0.76010543	-0.00013166861	2.6070809e-20	2.600515e-20	6.565814e-23	0.0056200163	-0.006577581	2.8216455e-06	0.0056200167	-0.006577581	2.82166e-06	-4.092726e-12	-1.8189894e-12	-1.4551915e-11
4.5006135700153814e-11	-0.6499306	0.7599425	-0.0001312595	2.6070802e-20	2.600514e-20	6.5663974e-23	0.005621669	-0.0065761656	2.8130162e-06	0.005621669	-0.0065761656	2.8130162e-06	0	-2.728484e-12	0
4.7508763964230775e-11	-0.6501209	0.75977975	-0.00013085145	2.6070802e-20	2.6005132e-20	6.5669546e-23	0.005623319	-0.006574753	2.8039067e-06	0.0056233183	-0.0065747527	2.8038867e-06	-6.366463e-12	2.2737368e-12	-1.4551915e-11
5.0000822719489805e-11	-0.6503096	0.7596181	-0.00013044591	2.6070794e-20	2.6005116e-20	6.5677467e-23	0.0056249555	-0.00657335	2.7955539e-06	0.0056249555	-0.0065733492	2.795563e-06	-9.094947e-13	4.5474735e-13	0
5.2500321960492e-11	-0.6504984	0.7594565	-0.00013004034	2.607079e-20	2.6005108e-20	6.56807e-23	0.0056265914	-0.0065719467	2.786881e-06	0.0056265914	-0.0065719467	2.7868773e-06	-6.366463e-12	-9.094947e-13	1.4551915e-11
