# t (s)	mx ()	my ()	mz ()	E_total (J)	E_demag (J)	E_exch (J)	B_effx (T)	B_effy (T)	B_effz (T)	B_demagx (T)	B_demagy (T)	B_demagz (T)	B_exchx (T)	B_exchy (T)	B_exchz (T)
0	-1.2071827e-08	3.5838237e-09	-0.0025678598	5.8510445e-19	2.989703e-21	5.8211476e-19	-9.182486e-10	-1.364242e-12	5.9274353e-05	4.740741e-11	-5.9117156e-12	5.927433e-05	0	-4.656613e-10	-7.275958e-12
2.5010757763331026e-12	-6.0359135e-09	2.4143654e-08	-0.5864387	3.0778398e-19	1.0349456e-19	2.042894e-19	7.8398443e-10	9.0221874e-10	0.013683073	3.756213e-10	-2.910383e-11	0.013683073	0	4.656613e-10	-2.3646862e-10
5.008398494361563e-12	-2.716161e-08	1.2071827e-08	-0.8212789	2.5312575e-19	1.6024496e-19	9.288078e-20	3.2059688e-10	0	0.018527564	4.1063686e-10	-1.1641532e-10	0.018527566	0	0	1.2914825e-10
7.508380797322865e-12	0	-6.0359135e-08	-0.881258	2.3208853e-19	1.6963856e-19	6.244997e-20	4.820322e-10	5.2386895e-10	0.019368758	2.1736923e-10	6.4028427e-10	0.01936876	2.3283064e-10	2.910383e-11	3.274181e-11
1.0012932816057517e-11	9.355666e-08	-9.05387e-09	-0.93152	2.2319155e-19	1.8679807e-19	3.639346e-20	-5.302354e-10	1.7462298e-10	0.020180797	-3.8744474e-10	1.1641532e-10	0.020180795	-4.656613e-10	1.1641532e-10	1.8189894e-12
1.2517964243293853e-11	3.621548e-08	1.8711332e-07	-0.96758103	2.1829338e-19	2.0092995e-19	1.7363432e-20	-1.382432e-10	-1.5133992e-09	0.020906497	-1.3142198e-10	-1.5133992e-09	0.020906497	5.820766e-11	1.1641532e-10	8.185452e-12
1.50001779802118e-11	-4.323223e-07	7.544892e-08	-0.98341805	2.1591271e-19	2.0700262e-19	8.910062e-21	4.163212e-09	-5.2386895e-10	0.021313736	4.1263775e-09	-5.820766e-10	0.021313736	2.910383e-11	0	-8.185452e-12
1.7506132696372612e-11	-9.355666e-08	-1.0110155e-06	-0.99092567	2.1500532e-19	2.1012352e-19	4.8818136e-21	1.072749e-09	8.556526e-09	0.021565856	1.0677468e-09	8.6729415e-09	0.021565856	0	5.820766e-11	-2.046363e-12
2.0008683390591993e-11	2.3577786e-06	4.7910063e-08	-0.99621236	2.1464516e-19	2.126056e-19	2.0395582e-21	-1.9768777e-08	-4.656613e-10	0.021741873	-1.9716936e-08	-4.656613e-10	0.021741873	-5.820766e-11	1.4551915e-11	-4.5474735e-13
2.250893527547057e-11	-8.186208e-07	5.4621246e-06	-0.999216	2.144288e-19	2.140063e-19	4.2250996e-22	7.1649993e-09	-4.6100467e-08	0.021828925	7.174549e-09	-4.5984052e-08	0.021828925	1.4551915e-11	-7.275958e-12	-2.2737368e-13
2.5010608270775113e-11	-1.2446643e-05	-3.628527e-06	-0.9998264	2.1429925e-19	2.1420571e-19	9.3537446e-23	1.0549866e-07	3.0791853e-08	0.021835944	1.0549502e-07	3.0791853e-08	0.02183594	5.002221e-12	-1.4551915e-11	-1.2434498e-13
2.7506475840199034e-11	1.2170099e-05	-2.7773502e-05	-0.9992469	2.1424209e-19	2.1383645e-19	4.0564896e-22	-1.02440936e-07	2.3515895e-07	0.021805998	-1.024373e-07	2.3515895e-07	0.021805998	7.275958e-12	0	-3.2684966e-13
3.000373019210221e-11	6.0778817e-05	3.6377696e-05	-0.9986041	2.1422084e-19	2.134689e-19	7.5194964e-22	-5.1475126e-07	-3.0751107e-07	0.02177635	-5.1475854e-07	-3.0751107e-07	0.021776348	-2.910383e-11	0	-4.5474735e-13
3.2510118629241555e-11	-0.000102865735	0.00013004601	-0.99830157	2.1421003e-19	2.1329514e-19	9.148924e-22	8.7114813e-07	-1.1022203e-06	0.02176139	8.7116314e-07	-1.1022203e-06	0.021761391	-7.275958e-12	2.910383e-11	0
3.5004332914420594e-11	-0.00027197722	-0.0002745028	-0.99829847	2.1420294e-19	2.132866e-19	9.16331e-22	2.304524e-06	2.3260945e-06	0.021760037	2.3045436e-06	2.3260945e-06	0.021760037	-2.1827873e-11	0	-2.5579538e-13
3.751048147764007e-11	0.0007192095	-0.00054839894	-0.9984433	2.141982e-19	2.1336144e-19	8.367535e-22	-6.0946218e-06	4.643167e-06	0.021765895	-6.094616e-06	4.643167e-06	0.021765897	-2.728484e-12	2.910383e-11	-5.684342e-13
4.0001359217112584e-11	0.0010679795	0.0018159604	-0.9985979	2.1419029e-19	2.1344557e-19	7.4472483e-22	-9.036883e-06	-1.5386264e-05	0.021772765	-9.036887e-06	-1.5386264e-05	0.021772765	3.637979e-12	0	-5.684342e-13
4.250044290959712e-11	-0.004522711	0.001941628	-0.9986236	2.1415181e-19	2.1347161e-19	6.801921e-22	3.8310838e-05	-1.6423874e-05	0.021775767	3.831084e-05	-1.6423874e-05	0.021775767	5.456968e-12	2.910383e-11	0
4.500065679576991e-11	-0.003160055	-0.0110524	-0.9981243	2.1393125e-19	2.1327631e-19	6.549468e-22	2.6722584e-05	9.360688e-05	0.021765804	2.672258e-05	9.360688e-05	0.021765802	9.094947e-13	0	0
4.750446106950994e-11	0.026433272	-0.0040096906	-0.99495304	2.1265675e-19	2.1199911e-19	6.57628e-22	-0.0002238534	3.388105e-05	0.02169649	-0.00022385338	3.388105e-05	0.02169649	1.8189894e-12	-2.910383e-11	0
5.0010753908978434e-11	0.0018422664	0.060145702	-0.97706854	2.0554228e-19	2.048812e-19	6.6108725e-22	-1.5392103e-05	-0.0005092729	0.021306183	-1.5392066e-05	-0.0005092729	0.021306183	-2.3646862e-11	2.910383e-11	0
5.250918009769893e-11	-0.11244873	-0.0032473817	-0.89049596	1.7298899e-19	1.7239249e-19	5.964991e-22	0.00095144677	2.8399052e-05	0.019419836	0.0009514468	2.839911e-05	0.019419834	0	-5.820766e-11	0
5.5001025454717915e-11	-0.017208727	-0.106360786	-0.63830525	9.55559e-20	9.52246e-20	3.312992e-22	0.00014455372	0.0008973906	0.013926445	0.00014455372	0.0008973906	0.013926445	-7.275958e-12	0	0
5.7507390578636984e-11	0.004806736	-0.01967785	-0.32807404	3.4614662e-20	3.450594e-20	1.0872284e-22	-3.982053e-05	0.00016708211	0.0071615786	-3.9820527e-05	0.00016708212	0.0071615786	0	-1.8189894e-12	3.637979e-12
6.000708983354948e-11	-0.04718939	-0.0024542506	-0.14293279	1.6686748e-20	1.6637232e-20	4.9515903e-23	0.00039789014	2.088062e-05	0.0031193686	0.00039789017	2.0880601e-05	0.003119369	3.1832315e-12	0	0
6.250826120419398e-11	-0.06692548	-0.011095071	-0.05986641	1.3228653e-20	1.3188761e-20	3.9893747e-23	0.00056459696	9.421544e-05	0.0013065909	0.00056459696	9.421542e-05	0.0013065909	-1.364242e-12	-4.5474735e-13	7.275958e-12
6.501041439048807e-11	-0.067639396	-0.015807768	-0.024973435	1.2624792e-20	1.2583989e-20	4.080363e-23	0.00057069864	0.00013420776	0.00054504204	0.00057069864	0.00013420776	0.0005450419	1.8189894e-12	1.1368684e-13	7.275958e-12
6.750130227069886e-11	-0.061558742	-0.016293418	-0.01053416	1.2516409e-20	1.2474589e-20	4.1820297e-23	0.0005194505	0.00013831549	0.00022990702	0.0005194504	0.00013831549	0.00022990713	3.4106051e-12	5.684342e-14	-7.275958e-12
7.000925667991886e-11	-0.05353768	-0.0149067985	-0.0045040934	1.2491452e-20	1.2449097e-20	4.235546e-23	0.0004517854	0.00012654011	9.830145e-05	0.0004517854	0.00012654012	9.8301505e-05	4.092726e-12	-8.526513e-13	-7.275958e-12
7.250021799586205e-11	-0.045597147	-0.012974389	-0.0020234473	1.248176e-20	1.2439159e-20	4.2600597e-23	0.00038478582	0.00011013496	4.4161556e-05	0.00038478582	0.00011013495	4.416163e-05	1.8189894e-12	-6.82121e-13	7.275958e-12
7.501085216119456e-11	-0.038336996	-0.011021047	-0.0009879421	1.2475816e-20	1.2433103e-20	4.2713117e-23	0.0003235218	9.35531e-05	2.1561893e-05	0.0003235218	9.35531e-05	2.1561777e-05	1.1368684e-12	5.1159077e-13	0
7.750182664841946e-11	-0.032074597	-0.009271211	-0.0005632405	1.2471695e-20	1.2428926e-20	4.277047e-23	0.0002706753	7.8698955e-05	1.229273e-05	0.0002706753	7.869897e-05	1.2292847e-05	4.774847e-12	0	0
8.000460617484143e-11	-0.026719341	-0.0077505955	-0.0003867468	1.24687566e-20	1.2425949e-20	4.280733e-23	0.00022548341	6.5790926e-05	8.4408675e-06	0.00022548341	6.579094e-05	8.440751e-06	-9.094947e-13	-2.842171e-13	-7.275958e-12
8.251256346106208e-11	-0.022206409	-0.0064591276	-0.00031405565	1.2466677e-20	1.2423841e-20	4.283708e-23	0.00018739948	5.4828117e-05	6.8543886e-06	0.00018739948	5.4828124e-05	6.8543886e-06	-3.637979e-12	-1.1368684e-13	0
8.500627625218608e-11	-0.018455077	-0.0053807753	-0.0002845009	1.24652306e-20	1.2422366e-20	4.2864808e-23	0.00015574225	4.5674577e-05	6.2093313e-06	0.00015574227	4.567457e-05	6.2093313e-06	1.364242e-12	4.5474735e-13	0
8.751017332490061e-11	-0.015316444	-0.0044757263	-0.00027251017	1.2464211e-20	1.2421319e-20	4.2893015e-23	0.00012925564	3.799228e-05	5.947746e-06	0.00012925564	3.799228e-05	5.947746e-06	6.82121e-13	1.0231815e-12	7.275958e-12
9.000181629359235e-11	-0.012718762	-0.0037248104	-0.00026783065	1.2463503e-20	1.2420582e-20	4.2921035e-23	0.00010733405	3.1617885e-05	5.8456353e-06	0.00010733404	3.1617892e-05	5.845577e-06	2.728484e-12	1.0231815e-12	-7.275958e-12
9.25039684209553e-11	-0.010551248	-0.0030967856	-0.00026611757	1.24629994e-20	1.2420049e-20	4.2951198e-23	8.904243e-05	2.628661e-05	5.8082223e-06	8.9042434e-05	2.628661e-05	5.8082805e-06	-2.9558578e-12	-3.410605e-13	-7.275958e-12
9.500332628860433e-11	-0.008753915	-0.0025747758	-0.0002656231	1.2462646e-20	1.2419667e-20	4.2979597e-23	7.387485e-05	2.1855874e-05	5.797512e-06	7.387485e-05	2.1855882e-05	5.797425e-06	4.5474735e-13	-1.4779289e-12	0
9.75060159177599e-11	-0.007260395	-0.0021400934	-0.00026561678	1.2462392e-20	1.2419382e-20	4.300995e-23	6.12709e-05	1.816624e-05	5.79725e-06	6.1270905e-05	1.816624e-05	5.79725e-06	-3.637979e-12	3.410605e-13	0
1e-10	-0.0060253446	-0.001779846	-0.00026580106	1.2462206e-20	1.2419166e-20	4.3039898e-23	5.0848677e-05	1.5108344e-05	5.8013247e-06	5.0848677e-05	1.5108351e-05	5.8012665e-06	-9.094947e-13	1.1368684e-13	7.275958e-12
