# t (s)	mx ()	my ()	mz ()	E_total (J)	E_demag (J)	E_exch (J)	B_effx (T)	B_effy (T)	B_effz (T)	B_demagx (T)	B_demagy (T)	B_demagz (T)	B_exchx (T)	B_exchy (T)	B_exchz (T)
0	-2.4143654e-08	-2.0748452e-09	-0.002499053	5.8509183e-19	2.980587e-21	5.8211124e-19	-9.2040864e-10	-1.6279955e-09	5.7154964e-05	6.002665e-11	8.185452e-12	5.7155095e-05	9.313226e-10	-1.1641532e-09	1.09139364e-10
2.5163729784140476e-12	-1.810774e-08	2.4143654e-08	-0.5839985	3.0713268e-19	1.01672815e-19	2.0545988e-19	3.1673153e-10	-5.820766e-11	0.013181794	3.8699e-10	-2.910383e-10	0.013181794	-2.3283064e-10	0	0
5.006916074765963e-12	-3.0179567e-08	4.2251393e-08	-0.8187147	2.520497e-19	1.5784828e-19	9.420141e-20	1.0845724e-09	-5.820766e-11	0.018046983	5.6184035e-10	-2.3283064e-10	0.018046984	0	2.3283064e-10	-3.6379788e-11
7.512629936969793e-12	-9.657462e-08	-2.6407122e-08	-0.87994325	2.2949258e-19	1.6636701e-19	6.31256e-20	1.4174475e-09	1.7462298e-10	0.01906395	1.1623342e-09	2.3283064e-10	0.01906395	0	2.910383e-11	1.4551915e-11
1.0000284205469354e-11	-6.0359135e-09	-2.022031e-07	-0.9259161	2.1968733e-19	1.8036932e-19	3.9318017e-20	5.4706106e-10	1.6298145e-09	0.019868566	4.1336534e-10	1.5133992e-09	0.019868566	0	0	-5.638867e-11
1.2513501630553893e-11	4.4213067e-07	-4.828731e-08	-0.9603756	2.1443024e-19	1.932484e-19	2.1181835e-20	-3.6852725e-09	1.1641532e-10	0.020569444	-3.6638994e-09	3.4924597e-10	0.02056944	0	2.3283064e-10	-8.185452e-12
1.5005061865415857e-11	1.463709e-07	9.597102e-07	-0.978177	2.1198865e-19	2.0028174e-19	1.17069e-20	-8.817551e-10	-8.381903e-09	0.02099283	-8.699317e-10	-8.381903e-09	0.020992829	2.910383e-11	-1.1641532e-10	-1.546141e-11
1.7503081029280025e-11	-2.1502942e-06	3.123585e-07	-0.9886532	2.1106846e-19	2.0496967e-19	6.098791e-21	1.8678747e-08	-2.5029294e-09	0.021273317	1.8733317e-08	-2.6193447e-09	0.021273319	-5.820766e-11	-5.820766e-11	-3.1832315e-12
2.0010372092384522e-11	-4.466576e-07	-4.8981437e-06	-0.9956763	2.1068363e-19	2.08356e-19	2.3276246e-21	3.9376573e-09	4.2200554e-08	0.021460012	3.9603947e-09	4.2258762e-08	0.02146001	0	-2.910383e-11	-9.094947e-13
2.250210494896461e-11	1.1176626e-05	-2.2861022e-07	-0.9988445	2.1045951e-19	2.0983664e-19	6.2287705e-22	-9.57848e-08	1.5716068e-09	0.02153856	-9.577707e-08	1.5716068e-09	0.02153856	1.4551915e-11	1.4551915e-11	-7.3896445e-13
2.5001604337597456e-11	-1.506149e-06	2.5465519e-05	-0.9989032	2.1033484e-19	2.0974396e-19	5.90871e-22	1.3306817e-08	-2.1891901e-07	0.021533769	1.331e-08	-2.1891901e-07	0.021533767	3.637979e-12	0	-3.9790393e-13
2.7508250269690185e-11	-5.7622037e-05	-7.977214e-06	-0.99772274	2.1028212e-19	2.0905629e-19	1.2258263e-21	4.954841e-07	6.8277586e-08	0.02149684	4.955318e-07	6.8277586e-08	0.021496842	-2.910383e-11	2.910383e-11	-1.1368684e-12
3.000665951348578e-11	2.6763428e-05	-0.00012913083	-0.9967167	2.1026144e-19	2.084944e-19	1.767038e-21	-2.294305e-07	1.1107768e-06	0.021465963	-2.2945824e-07	1.110835e-06	0.021465963	6.548362e-11	0	-5.684342e-14
3.25129180431033e-11	0.0002882674	8.057039e-05	-0.99630725	2.1025017e-19	2.082631e-19	1.9870702e-21	-2.4797232e-06	-6.929622e-07	0.021453012	-2.47972e-06	-6.92904e-07	0.021453012	7.275958e-12	0	-6.82121e-13
3.5007426963464607e-11	-0.00022065145	0.0006396378	-0.99637055	2.1024335e-19	2.082906e-19	1.9527333e-21	1.9003614e-06	-5.502894e-06	0.021454496	1.9003405e-06	-5.502836e-06	0.021454493	9.094947e-12	-5.820766e-11	-2.842171e-12
3.7512493495775566e-11	-0.001414574	-0.0005976203	-0.99664116	2.1023917e-19	2.084334e-19	1.805769e-21	1.2167986e-05	5.1462557e-06	0.021462435	1.2167979e-05	5.1461975e-06	0.021462435	-7.275958e-12	5.820766e-11	-9.663381e-13
4.000624096476229e-11	0.0015466949	-0.003111324	-0.99689263	2.1023202e-19	2.0856973e-19	1.6622996e-21	-1.3316484e-05	2.6758295e-05	0.021469995	-1.3316493e-05	2.6758295e-05	0.021469992	-1.4551915e-11	-1.1641532e-10	-1.7053026e-12
4.251398235560054e-11	0.0068046865	0.0040151696	-0.9969629	2.1019819e-19	2.086193e-19	1.5788708e-21	-5.85174e-05	-3.4559984e-05	0.021472739	-5.8517435e-05	-3.4559984e-05	0.021472739	2.5465852e-11	5.820766e-11	-2.2737368e-13
4.500449608020389e-11	-0.009987062	0.014811277	-0.9965331	2.1001462e-19	2.084554e-19	1.5592275e-21	8.5946165e-05	-0.0001273703	0.02146374	8.594617e-05	-0.00012737035	0.02146374	9.094947e-13	-5.820766e-11	0
4.750284925197095e-11	-0.03206979	-0.024633529	-0.99393123	2.090005e-19	2.0743036e-19	1.5701287e-21	0.0002757848	0.00021197135	0.021407427	0.00027578478	0.00021197132	0.021407427	6.5938366e-12	0	1.8189894e-12
5.001014188516262e-11	0.059084553	-0.06934107	-0.9798758	2.0350397e-19	2.0195876e-19	1.5452186e-21	-0.00050844206	0.0005962349	0.021104533	-0.00050844206	0.00059623504	0.021104533	-1.72804e-11	0	7.275958e-12
5.2504951028494125e-11	0.15210639	0.12269859	-0.9117114	1.7786212e-19	1.7655529e-19	1.3068205e-21	-0.00130733	-0.0010562126	0.019637767	-0.00130733	-0.0010562125	0.019637771	2.1827873e-11	2.910383e-11	7.275958e-12
5.500079763842587e-11	-0.14334133	0.31137997	-0.68930686	1.0703836e-19	1.0640747e-19	6.308992e-22	0.0012355822	-0.0026729538	0.014853458	0.0012355822	-0.0026729538	0.014853458	-9.094947e-13	-2.910383e-11	0
5.7513703311880956e-11	-0.391512	0.097704634	-0.37205803	4.013905e-20	3.9979513e-20	1.5953735e-22	0.0033575012	-0.0008407407	0.008022033	0.0033575012	-0.0008407406	0.008022031	2.728484e-12	7.275958e-12	0
6.001252005878993e-11	-0.35345176	-0.074945495	-0.16698773	1.7821414e-20	1.772955e-20	9.186175e-23	0.0030310273	0.0006459508	0.003599596	0.0030310277	0.0006459507	0.003599596	-4.092726e-12	1.8189894e-12	7.275958e-12
